report_date,commodity,location,delivery,sale_type,basis_low,basis_high,futures_month,basis_change,price_low,price_high,average,year_ago,freight
2026-07-29,Corn,Gulf Coast Ports,Aug²,Bid,101.0,107.0,9,UNCH,5.5,5.56,5.53,4.7375,CIF-B
2026-07-29,Corn,Gulf Coast Ports,Aug¹,Bid,101.0,106.0,9,UNCH,5.5,5.55,5.525,4.7275,CIF-B
2026-07-29,Corn,Gulf Coast Ports,Current,Bid,100.0,105.0,9,UNCH,5.49,5.54,5.515,4.7325,CIF-B
2026-07-29,Corn,Gulf Coast Ports,Nov,Bid,99.0,99.0,12,UNCH,5.7075,5.7075,5.7075,4.8925,CIF-B
2026-07-29,Corn,Gulf Coast Ports,Oct,Bid,100.0,101.0,12,UNCH,5.7175,5.7275,5.7225,4.8875,CIF-B
2026-07-29,Corn,Gulf Coast Ports,Sep,Bid,115.0,119.0,9,UNCH,5.64,5.68,5.66,,CIF-B
2026-07-29,Soybeans,Gulf Coast Ports,Aug,Bid,117.0,122.0,8,UNCH,12.95,13.0,12.975,10.5375,CIF-B
2026-07-29,Soybeans,Gulf Coast Ports,Current,Bid,120.0,122.0,8,UNCH,12.98,13.0,12.99,10.5275,CIF-B
2026-07-29,Soybeans,Gulf Coast Ports,Nov,Bid,110.0,115.0,11,UNCH,13.0275,13.0775,13.0525,10.6625,CIF-B
2026-07-29,Soybeans,Gulf Coast Ports,Oct,Bid,103.0,110.0,11,UNCH,12.9575,13.0275,12.9925,10.5475,CIF-B
2026-07-29,Soybeans,Gulf Coast Ports,Sep,Bid,103.0,108.0,11,UNCH,12.9575,13.0075,12.9825,10.5375,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Aug²,Bid,60.0,70.0,9,UNCH,7.2075,7.3075,7.2575,,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Aug¹,Bid,60.0,65.0,9,UNCH,7.2075,7.2575,7.2325,,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Current,Bid,50.0,50.0,9,UNCH,7.1075,7.1075,7.1075,5.6125,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Nov,Bid,85.0,100.0,12,UNCH,7.6275,7.7775,7.7025,6.1425,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Oct,Bid,75.0,100.0,12,UNCH,7.5275,7.7775,7.6525,6.0425,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Sep²,Bid,80.0,90.0,9,UNCH,7.4075,7.5075,7.4575,5.8375,CIF-B
2026-07-29,Wheat,Gulf Coast Ports,Sep¹,Bid,75.0,95.0,9,UNCH,7.3575,7.5575,7.4575,5.8125,CIF-B
2026-07-30,Corn,Gulf Coast Ports,Nov,Bid,99.0,99.0,12,UNCH,5.71,5.71,5.71,4.9075,CIF-B
2026-07-30,Corn,Gulf Coast Ports,Oct,Bid,100.0,101.0,12,UNCH,5.72,5.73,5.725,4.9025,CIF-B
2026-07-30,Corn,Gulf Coast Ports,Sep,Bid,115.0,119.0,9,UNCH,5.64,5.68,5.66,,CIF-B
2026-07-30,Soybeans,Gulf Coast Ports,Current,Bid,120.0,122.0,8,UNCH,12.96,12.98,12.97,10.4675,CIF-B
2026-07-30,Wheat,Gulf Coast Ports,Current,Bid,50.0,50.0,9,UNCH,7.1975,7.1975,7.1975,5.6075,CIF-B
2026-07-30,Wheat,Gulf Coast Ports,Nov,Bid,85.0,100.0,12,UNCH,7.72,7.87,7.795,6.125,CIF-B
2026-07-30,Wheat,Gulf Coast Ports,Oct,Bid,75.0,100.0,12,UNCH,7.62,7.87,7.745,6.025,CIF-B
2026-07-30,Wheat,Gulf Coast Ports,Sep²,Bid,80.0,90.0,9,UNCH,7.4975,7.5975,7.5475,5.8325,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Aug²,Bid,107.0,107.0,9,UNCH,5.4775,5.4775,5.4775,4.715,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Aug¹,Bid,106.0,107.0,9,UNCH,5.4675,5.4775,5.4725,,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Current,Bid,105.0,107.0,9,UNCH,5.4575,5.4775,5.4675,4.705,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Nov,Bid,99.0,99.0,12,UNCH,5.63,5.63,5.63,4.8775,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Oct,Bid,100.0,101.0,12,UNCH,5.64,5.65,5.645,4.8725,CIF-B
2026-07-31,Corn,Gulf Coast Ports,Sep,Bid,115.0,119.0,9,UNCH,5.5575,5.5975,5.5775,,CIF-B
2026-07-31,Soybeans,Gulf Coast Ports,Aug,Bid,120.0,122.0,8,UNCH,12.92,12.94,12.93,,CIF-B
2026-07-31,Soybeans,Gulf Coast Ports,Current,Bid,120.0,122.0,8,UNCH,12.92,12.94,12.93,10.4775,CIF-B
2026-07-31,Soybeans,Gulf Coast Ports,Nov,Bid,115.0,115.0,11,UNCH,13.025,13.025,13.025,10.5975,CIF-B
2026-07-31,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,110.0,11,UNCH,12.925,12.975,12.95,10.4825,CIF-B
2026-07-31,Soybeans,Gulf Coast Ports,Sep,Bid,100.0,108.0,11,UNCH,12.875,12.955,12.915,10.4725,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Aug²,Bid,50.0,70.0,9,UNCH,6.8925,7.0925,6.9925,,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Aug¹,Bid,50.0,65.0,9,UNCH,6.8925,7.0425,6.9675,,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Current,Bid,50.0,50.0,9,UNCH,6.8925,6.8925,6.8925,5.6175,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Nov,Bid,85.0,100.0,12,UNCH,7.425,7.575,7.5,6.07,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Oct,Bid,75.0,100.0,12,UNCH,7.325,7.575,7.45,5.97,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Sep²,Bid,80.0,90.0,9,UNCH,7.1925,7.2925,7.2425,5.7675,CIF-B
2026-07-31,Wheat,Gulf Coast Ports,Sep¹,Bid,75.0,90.0,9,UNCH,7.1425,7.2925,7.2175,5.7425,CIF-B
2026-08-03,Corn,Gulf Coast Ports,Aug²,Bid,107.0,107.0,9,UNCH,5.5625,5.5625,5.5625,4.69,CIF-B
2026-08-03,Corn,Gulf Coast Ports,Nov,Bid,99.0,99.0,12,UNCH,5.715,5.715,5.715,4.84,CIF-B
2026-08-03,Corn,Gulf Coast Ports,Oct,Bid,100.0,101.0,12,UNCH,5.725,5.735,5.73,4.835,CIF-B
2026-08-03,Corn,Gulf Coast Ports,Sep,Bid,115.0,119.0,9,UNCH,5.6425,5.6825,5.6625,,CIF-B
2026-08-03,Soybeans,Gulf Coast Ports,Current,Bid,120.0,122.0,8,UNCH,12.8875,12.9075,12.8975,10.55,CIF-B
2026-08-03,Soybeans,Gulf Coast Ports,Nov,Bid,115.0,115.0,11,UNCH,13.0725,13.0725,13.0725,10.65,CIF-B
2026-08-03,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,110.0,11,UNCH,12.9725,13.0225,12.9975,10.535,CIF-B
2026-08-03,Soybeans,Gulf Coast Ports,Sep,Bid,100.0,108.0,11,UNCH,12.9225,13.0025,12.9625,10.525,CIF-B
2026-08-03,Wheat,Gulf Coast Ports,Aug²,Bid,50.0,70.0,9,UNCH,7.01,7.21,7.11,,CIF-B
2026-08-03,Wheat,Gulf Coast Ports,Nov,Bid,85.0,100.0,12,UNCH,7.5425,7.6925,7.6175,6.07,CIF-B
2026-08-03,Wheat,Gulf Coast Ports,Oct,Bid,75.0,100.0,12,UNCH,7.4425,7.6925,7.5675,5.97,CIF-B
2026-08-03,Wheat,Gulf Coast Ports,Sep²,Bid,80.0,90.0,9,UNCH,7.31,7.41,7.36,5.7675,CIF-B
2026-08-03,Wheat,Gulf Coast Ports,Sep¹,Bid,75.0,90.0,9,UNCH,7.26,7.41,7.335,5.7425,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Aug²,Bid,107.0,107.0,9,UNCH,5.4925,5.4925,5.4925,4.635,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Current,Bid,106.0,107.0,9,UNCH,5.4825,5.4925,5.4875,4.625,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Dec,Bid,99.0,101.0,12,UNCH,5.645,5.665,5.655,4.81,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Nov,Bid,99.0,99.0,12,UNCH,5.645,5.645,5.645,4.79,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Oct,Bid,100.0,101.0,12,UNCH,5.655,5.665,5.66,4.785,CIF-B
2026-08-04,Corn,Gulf Coast Ports,Sep,Bid,115.0,119.0,9,UNCH,5.5725,5.6125,5.5925,,CIF-B
2026-08-04,Soybeans,Gulf Coast Ports,Current,Bid,120.0,122.0,8,UNCH,12.75,12.77,12.76,10.55,CIF-B
2026-08-04,Soybeans,Gulf Coast Ports,Dec,Bid,100.0,101.0,1,UNCH,12.9325,12.9425,12.9375,10.7425,CIF-B
2026-08-04,Soybeans,Gulf Coast Ports,Nov,Bid,115.0,115.0,11,UNCH,12.9275,12.9275,12.9275,10.6125,CIF-B
2026-08-04,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,110.0,11,UNCH,12.8275,12.8775,12.8525,10.4975,CIF-B
2026-08-04,Soybeans,Gulf Coast Ports,Sep,Bid,100.0,108.0,11,UNCH,12.7775,12.8575,12.8175,10.4875,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Aug²,Bid,50.0,70.0,9,UNCH,6.885,7.085,6.985,,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Current,Bid,50.0,65.0,9,UNCH,6.885,7.035,6.96,5.5325,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Dec,Bid,85.0,100.0,12,UNCH,7.4225,7.5725,7.4975,6.035,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Nov,Bid,85.0,100.0,12,UNCH,7.4225,7.5725,7.4975,5.985,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Oct,Bid,75.0,100.0,12,UNCH,7.3225,7.5725,7.4475,5.885,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Sep²,Bid,80.0,90.0,9,UNCH,7.185,7.285,7.235,5.6825,CIF-B
2026-08-04,Wheat,Gulf Coast Ports,Sep¹,Bid,75.0,90.0,9,UNCH,7.135,7.285,7.21,5.6575,CIF-B
2026-08-06,Corn,Gulf Coast Ports,Nov,Bid,100.0,101.0,12,DN 1.00,5.62,5.63,5.625,,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Dec,Bid,101.0,105.0,1,UNCH,12.9375,12.9775,12.9575,10.785,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Nov²,Bid,115.0,117.0,11,UNCH,12.9275,12.9475,12.9375,,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Nov¹,Bid,114.0,115.0,11,UNCH,12.9175,12.9275,12.9225,,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,105.0,11,UNCH,12.8275,12.8275,12.8275,10.5725,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Sep²,Bid,100.0,102.0,11,UNCH,12.7775,12.7975,12.7875,,CIF-B
2026-08-06,Soybeans,Gulf Coast Ports,Sep¹,Bid,100.0,100.0,11,UNCH,12.7775,12.7775,12.7775,,CIF-B
2026-08-06,Wheat,Gulf Coast Ports,Dec,Bid,85.0,100.0,12,UNCH,7.355,7.505,7.43,6.14,CIF-B
2026-08-06,Wheat,Gulf Coast Ports,Nov²,Bid,85.0,100.0,12,UNCH,7.355,7.505,7.43,,CIF-B
2026-08-06,Wheat,Gulf Coast Ports,Nov¹,Bid,80.0,100.0,12,UNCH,7.305,7.505,7.405,,CIF-B
2026-08-06,Wheat,Gulf Coast Ports,Oct,Bid,85.0,100.0,12,UNCH,7.355,7.505,7.43,6.09,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Aug²,Bid,99.0,99.0,9,UNCH,5.38,5.38,5.38,,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Current,Bid,97.0,99.0,9,UNCH,5.36,5.38,5.37,4.6625,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Dec,Bid,85.0,97.0,12,UNCH,5.47,5.59,5.53,4.88,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Nov,Bid,100.0,101.0,12,UNCH,5.62,5.63,5.625,,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Oct,Bid,101.0,103.0,12,UNCH,5.63,5.65,5.64,4.8183,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Sep²,Bid,114.0,117.0,9,UNCH,5.53,5.56,5.545,,CIF-B
2026-08-07,Corn,Gulf Coast Ports,Sep¹,Bid,110.0,114.0,9,UNCH,5.49,5.53,5.51,,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Dec,Bid,101.0,105.0,1,UNCH,12.9225,12.9625,12.9425,10.725,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Nov²,Bid,115.0,117.0,11,UNCH,12.9125,12.9325,12.9225,,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Nov¹,Bid,114.0,115.0,11,UNCH,12.9025,12.9125,12.9075,,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,105.0,11,UNCH,12.8125,12.8125,12.8125,10.51,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Sep²,Bid,100.0,102.0,11,UNCH,12.7625,12.7825,12.7725,,CIF-B
2026-08-07,Soybeans,Gulf Coast Ports,Sep¹,Bid,100.0,100.0,11,UNCH,12.7625,12.7625,12.7625,,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Aug²,Bid,45.0,45.0,9,UNCH,6.8475,6.8475,6.8475,5.445,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Current,Bid,35.0,45.0,9,UNCH,6.7475,6.8475,6.7975,5.445,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Dec,Bid,85.0,100.0,12,UNCH,7.4325,7.5825,7.5075,6.1,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Nov²,Bid,85.0,100.0,12,UNCH,7.4325,7.5825,7.5075,,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Nov¹,Bid,80.0,100.0,12,UNCH,7.3825,7.5825,7.4825,,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Oct,Bid,85.0,100.0,12,UNCH,7.4325,7.5825,7.5075,6.05,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Sep²,Bid,75.0,80.0,9,UNCH,7.1475,7.1975,7.1725,5.695,CIF-B
2026-08-07,Wheat,Gulf Coast Ports,Sep¹,Bid,50.0,75.0,9,UNCH,6.8975,7.1475,7.0225,5.645,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Aug²,Bid,99.0,99.0,9,UNCH,5.3625,5.3625,5.3625,,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Current,Bid,97.0,99.0,9,UNCH,5.3425,5.3625,5.3525,4.685,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Dec,Bid,85.0,97.0,12,UNCH,5.455,5.575,5.515,4.9025,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Nov,Bid,100.0,101.0,12,UNCH,5.605,5.615,5.61,,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Oct,Bid,101.0,103.0,12,UNCH,5.615,5.635,5.625,4.8408,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Sep²,Bid,114.0,117.0,9,UNCH,5.5125,5.5425,5.5275,,CIF-B
2026-08-10,Corn,Gulf Coast Ports,Sep¹,Bid,110.0,114.0,9,UNCH,5.4725,5.5125,5.4925,,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Dec,Bid,101.0,105.0,1,UNCH,12.9575,12.9975,12.9775,10.955,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Nov²,Bid,115.0,117.0,11,UNCH,12.9475,12.9675,12.9575,,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Nov¹,Bid,114.0,115.0,11,UNCH,12.9375,12.9475,12.9425,,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Oct,Bid,105.0,105.0,11,UNCH,12.8475,12.8475,12.8475,10.7475,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Sep²,Bid,100.0,102.0,11,UNCH,12.7975,12.8175,12.8075,,CIF-B
2026-08-10,Soybeans,Gulf Coast Ports,Sep¹,Bid,100.0,100.0,11,UNCH,12.7975,12.7975,12.7975,,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Aug²,Bid,45.0,45.0,9,UNCH,6.8925,6.8925,6.8925,5.45,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Current,Bid,35.0,45.0,9,UNCH,6.7925,6.8925,6.8425,5.45,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Dec,Bid,85.0,100.0,12,UNCH,7.4775,7.6275,7.5525,6.105,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Nov²,Bid,85.0,100.0,12,UNCH,7.4775,7.6275,7.5525,,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Nov¹,Bid,80.0,100.0,12,UNCH,7.4275,7.6275,7.5275,,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Oct,Bid,85.0,100.0,12,UNCH,7.4775,7.6275,7.5525,6.055,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Sep²,Bid,75.0,80.0,9,UNCH,7.1925,7.2425,7.2175,5.7,CIF-B
2026-08-10,Wheat,Gulf Coast Ports,Sep¹,Bid,50.0,75.0,9,UNCH,6.9425,7.1925,7.0675,5.65,CIF-B
