week_ending,region,country,commodity,inspections_mt
2026-07-30,ATLANTIC,JAMAICA,Corn White,0.0
2026-07-30,ATLANTIC,JAMAICA,Corn Yellow,2886.0
2026-07-30,ATLANTIC,JAMAICA,Sorghum,0.0
2026-07-30,ATLANTIC,JAMAICA,Soybeans,0.0
2026-07-30,ATLANTIC,JAMAICA,Wheat,0.0
2026-07-30,ATLANTIC,MALAYSIA,Corn White,0.0
2026-07-30,ATLANTIC,MALAYSIA,Corn Yellow,0.0
2026-07-30,ATLANTIC,MALAYSIA,Sorghum,0.0
2026-07-30,ATLANTIC,MALAYSIA,Soybeans,0.0
2026-07-30,ATLANTIC,MALAYSIA,Wheat,2326.0
2026-07-30,ATLANTIC,SPAIN,Corn White,0.0
2026-07-30,ATLANTIC,SPAIN,Corn Yellow,52208.0
2026-07-30,ATLANTIC,SPAIN,Sorghum,0.0
2026-07-30,ATLANTIC,SPAIN,Soybeans,0.0
2026-07-30,ATLANTIC,SPAIN,Wheat,0.0
2026-07-30,ATLANTIC,SUBTOTAL,Corn White,0.0
2026-07-30,ATLANTIC,SUBTOTAL,Corn Yellow,55094.0
2026-07-30,ATLANTIC,SUBTOTAL,Sorghum,0.0
2026-07-30,ATLANTIC,SUBTOTAL,Soybeans,0.0
2026-07-30,ATLANTIC,SUBTOTAL,Wheat,2326.0
2026-07-30,GULF,BARBADOS,Corn White,0.0
2026-07-30,GULF,BARBADOS,Corn Yellow,6293.0
2026-07-30,GULF,BARBADOS,Sorghum,0.0
2026-07-30,GULF,BARBADOS,Soybeans,3001.0
2026-07-30,GULF,BARBADOS,Wheat,4951.0
2026-07-30,GULF,CHINA,Corn White,0.0
2026-07-30,GULF,CHINA,Corn Yellow,0.0
2026-07-30,GULF,CHINA,Sorghum,60791.0
2026-07-30,GULF,CHINA,Soybeans,0.0
2026-07-30,GULF,CHINA,Wheat,0.0
2026-07-30,GULF,COLOMBIA,Corn White,0.0
2026-07-30,GULF,COLOMBIA,Corn Yellow,271599.0
2026-07-30,GULF,COLOMBIA,Sorghum,0.0
2026-07-30,GULF,COLOMBIA,Soybeans,7411.0
2026-07-30,GULF,COLOMBIA,Wheat,0.0
2026-07-30,GULF,COSTA RICA,Corn White,0.0
2026-07-30,GULF,COSTA RICA,Corn Yellow,51423.0
2026-07-30,GULF,COSTA RICA,Sorghum,0.0
2026-07-30,GULF,COSTA RICA,Soybeans,12437.0
2026-07-30,GULF,COSTA RICA,Wheat,0.0
2026-07-30,GULF,DOMINICN REP,Corn White,0.0
2026-07-30,GULF,DOMINICN REP,Corn Yellow,0.0
2026-07-30,GULF,DOMINICN REP,Sorghum,0.0
2026-07-30,GULF,DOMINICN REP,Soybeans,0.0
2026-07-30,GULF,DOMINICN REP,Wheat,7128.0
2026-07-30,GULF,EGYPT,Corn White,0.0
2026-07-30,GULF,EGYPT,Corn Yellow,0.0
2026-07-30,GULF,EGYPT,Sorghum,0.0
2026-07-30,GULF,EGYPT,Soybeans,56944.0
2026-07-30,GULF,EGYPT,Wheat,0.0
2026-07-30,GULF,ERITREA,Corn White,0.0
2026-07-30,GULF,ERITREA,Corn Yellow,0.0
2026-07-30,GULF,ERITREA,Sorghum,33002.0
2026-07-30,GULF,ERITREA,Soybeans,0.0
2026-07-30,GULF,ERITREA,Wheat,0.0
2026-07-30,GULF,GERMANY,Corn White,0.0
2026-07-30,GULF,GERMANY,Corn Yellow,0.0
2026-07-30,GULF,GERMANY,Sorghum,0.0
2026-07-30,GULF,GERMANY,Soybeans,58129.0
2026-07-30,GULF,GERMANY,Wheat,0.0
2026-07-30,GULF,GUATEMALA,Corn White,0.0
2026-07-30,GULF,GUATEMALA,Corn Yellow,34713.0
2026-07-30,GULF,GUATEMALA,Sorghum,0.0
2026-07-30,GULF,GUATEMALA,Soybeans,0.0
2026-07-30,GULF,GUATEMALA,Wheat,0.0
2026-07-30,GULF,HAITI,Corn White,0.0
2026-07-30,GULF,HAITI,Corn Yellow,0.0
2026-07-30,GULF,HAITI,Sorghum,0.0
2026-07-30,GULF,HAITI,Soybeans,0.0
2026-07-30,GULF,HAITI,Wheat,11942.0
2026-07-30,GULF,INDONESIA,Corn White,0.0
2026-07-30,GULF,INDONESIA,Corn Yellow,0.0
2026-07-30,GULF,INDONESIA,Sorghum,0.0
2026-07-30,GULF,INDONESIA,Soybeans,57696.0
2026-07-30,GULF,INDONESIA,Wheat,0.0
2026-07-30,GULF,MEXICO,Corn White,0.0
2026-07-30,GULF,MEXICO,Corn Yellow,231342.0
2026-07-30,GULF,MEXICO,Sorghum,0.0
2026-07-30,GULF,MEXICO,Soybeans,0.0
2026-07-30,GULF,MEXICO,Wheat,0.0
2026-07-30,GULF,NICARAGUA,Corn White,0.0
2026-07-30,GULF,NICARAGUA,Corn Yellow,61030.0
2026-07-30,GULF,NICARAGUA,Sorghum,0.0
2026-07-30,GULF,NICARAGUA,Soybeans,0.0
2026-07-30,GULF,NICARAGUA,Wheat,0.0
2026-07-30,GULF,PANAMA,Corn White,0.0
2026-07-30,GULF,PANAMA,Corn Yellow,41113.0
2026-07-30,GULF,PANAMA,Sorghum,0.0
2026-07-30,GULF,PANAMA,Soybeans,0.0
2026-07-30,GULF,PANAMA,Wheat,0.0
2026-07-30,GULF,PORTUGAL,Corn White,0.0
2026-07-30,GULF,PORTUGAL,Corn Yellow,53885.0
