commodity,week_ending,inspections_mt
Corn,2025-07-24,1532153.0
Corn,2025-07-31,1295823.0
Corn,2025-08-07,1522561.0
Corn,2025-08-14,1051695.0
Corn,2025-08-21,1338532.0
Corn,2025-08-28,1409720.0
Corn,2026-07-16,1612823.0
Corn,2026-07-23,1533259.0
Corn,2026-07-30,1887984.0
Corn,2026-08-06,1760404.0
Corn,2026-08-13,1944870.0
Corn,2026-08-20,1322594.0
Corn,2026-08-27,1496034.0
Soybeans,2025-07-24,427807.0
Soybeans,2025-07-31,628403.0
Soybeans,2025-08-07,544344.0
Soybeans,2025-08-14,502818.0
Soybeans,2025-08-21,393654.0
Soybeans,2025-08-28,491966.0
Soybeans,2026-07-16,319022.0
Soybeans,2026-07-23,365720.0
Soybeans,2026-07-30,347246.0
Soybeans,2026-08-06,409509.0
Soybeans,2026-08-13,294329.0
Soybeans,2026-08-20,430079.0
Soybeans,2026-08-27,250801.0
Wheat,2025-07-24,290272.0
Wheat,2025-07-31,689730.0
Wheat,2025-08-07,414865.0
Wheat,2025-08-14,403022.0
Wheat,2025-08-21,1047092.0
Wheat,2025-08-28,804913.0
Wheat,2026-07-16,229761.0
Wheat,2026-07-23,417468.0
Wheat,2026-07-30,338754.0
Wheat,2026-08-06,485924.0
Wheat,2026-08-13,514363.0
Wheat,2026-08-20,432538.0
Wheat,2026-08-27,430925.0
